Month,Breakdown,Country,Number of Tourists
Jun-18,Europe,Germany,5283.0
Jun-18,Europe,Italy,3236.0
Jun-18,Europe,Russia,3646.0
Jun-18,Europe,United Kingdom,6459.0
Jun-18,Asia,China,22853.0
Jun-18,Asia,India,7348.0
Jun-18,Europe,France,1057.0
Jul-18,Europe,Germany,6932.0
Jul-18,Europe,Italy,4644.0
Jul-18,Europe,Russia,4370.0
Jul-18,Europe,United Kingdom,8421.0
Jul-18,Asia,China,33227.0
Jul-18,Asia,India,5694.0
Jul-18,Europe,France,2043.0
Aug-18,Europe,Germany,6382.0
Aug-18,Europe,Italy,8771.0
Aug-18,Europe,Russia,4525.0
Aug-18,Europe,United Kingdom,9249.0
Aug-18,Asia,China,33472.0
Aug-18,Asia,India,4299.0
Aug-18,Europe,France,2714.0
Sep-18,Europe,Germany,9112.0
Sep-18,Europe,Italy,4133.0
Sep-18,Europe,Russia,3790.0
Sep-18,Europe,United Kingdom,8106.0
Sep-18,Asia,China,27997.0
Sep-18,Asia,India,5244.0
Sep-18,Europe,France,1853.0
Oct-18,Europe,Germany,13364.0
Oct-18,Europe,Italy,5663.0
Oct-18,Europe,Russia,5800.0
Oct-18,Europe,United Kingdom,9989.0
Oct-18,Asia,China,25803.0
Oct-18,Asia,India,7905.0
Oct-18,Europe,France,3743.0
Nov-18,Europe,Germany,13043.0
Nov-18,Europe,Italy,7927.0
Nov-18,Europe,Russia,6901.0
Nov-18,Europe,United Kingdom,10518.0
Nov-18,Asia,China,18465.0
Nov-18,Asia,India,11590.0
Nov-18,Europe,France,3349.0
Dec-18,Europe,Germany,10872.0
Dec-18,Europe,Italy,17787.0
Dec-18,Europe,Russia,7152.0
Dec-18,Europe,United Kingdom,10784.0
Dec-18,Asia,China,16740.0
Dec-18,Asia,India,14660.0
